text,intent
what is the weather now,GetWeather
wake me up please,SetAlarm
weather today for me,GetWeather
find a movie,SearchCreativeWork
weather forecast please,GetWeather
start playlist please,PlayMusic
search books today,SearchCreativeWork
add milk to list please,AddToList
look for songs now,SearchCreativeWork
find restaurant booking now,BookRestaurant
weather today today,GetWeather
temperature today now,GetWeather
add milk to list today,AddToList
weather in my city,GetWeather
add item to my list for me,AddToList
world news please,GetNews
what is the weather please,GetWeather
add milk to list please,AddToList
weather in my city now,GetWeather
when is next show now,SearchScreeningEvent
table for two please now,BookRestaurant
wake me at 6 now,SetAlarm
is it raining for me,GetWeather
wake me up today,SetAlarm
look for songs for me,SearchCreativeWork
wake me at 6 now,SetAlarm
play hindi songs,PlayMusic
news update now,GetNews
weather forecast for me,GetWeather
show news today,GetNews
show movies about robots today,SearchCreativeWork
i want to eat out please,BookRestaurant
wake me at 6 for me,SetAlarm
add item to my list for me,AddToList
search creative content today,SearchCreativeWork
show news please,GetNews
movie timings,SearchScreeningEvent
is it raining please,GetWeather
search creative content,SearchCreativeWork
find artwork for me,SearchCreativeWork
film screening time now,SearchScreeningEvent
play a song for me,PlayMusic
add item to my list now,AddToList
how is weather today,GetWeather
book a place for dinner,BookRestaurant
add bread to list please,AddToList
how is weather for me,GetWeather
wake me up now,SetAlarm
book a table for me,BookRestaurant
news update,GetNews
temperature today now,GetWeather
set alarm please,SetAlarm
weather today today,GetWeather
is it raining please,GetWeather
film screening time please,SearchScreeningEvent
add bread to list for me,AddToList
search books for me,SearchCreativeWork
wake me at 6 now,SetAlarm
show movies about robots now,SearchCreativeWork
film screening time today,SearchScreeningEvent
weather forecast please,GetWeather
temperature today,GetWeather
set reminder alarm please,SetAlarm
play a song,PlayMusic
set alarm,SetAlarm
latest news for me,GetNews
alarm for 7 am today,SetAlarm
set reminder alarm please,SetAlarm
cinema schedule today,SearchScreeningEvent
search books,SearchCreativeWork
weather in my city now,GetWeather
find artwork today,SearchCreativeWork
play a song,PlayMusic
show movies about robots now,SearchCreativeWork
weather forecast please,GetWeather
set reminder alarm today,SetAlarm
restaurant reservation please,BookRestaurant
add groceries please,AddToList
will it rain today for me,GetWeather
what is the weather for me,GetWeather
play a song please,PlayMusic
restaurant reservation today,BookRestaurant
cinema schedule today,SearchScreeningEvent
start music today,PlayMusic
play some songs now,PlayMusic
showtimes near me today,SearchScreeningEvent
cinema schedule please,SearchScreeningEvent
add items to shopping list,AddToList
i want music,PlayMusic
music please today,PlayMusic
book a table for me,BookRestaurant
is it raining,GetWeather
weather forecast today,GetWeather
weather forecast for me,GetWeather
music please,PlayMusic
show movies about robots for me,SearchCreativeWork
what is happening today please,GetNews
show news now,GetNews
search books now,SearchCreativeWork
showtimes near me,SearchScreeningEvent
play tracks for me,PlayMusic
weather today for me,GetWeather
set reminder alarm now,SetAlarm
table for two please,BookRestaurant
alarm for 7 am now,SetAlarm
book a place for dinner for me,BookRestaurant
add bread to list for me,AddToList
start playlist now,PlayMusic
is it raining now,GetWeather
weather today for me,GetWeather
i want to eat out now,BookRestaurant
wake me at 6 now,SetAlarm
wake me at 6 now,SetAlarm
showtimes near me,SearchScreeningEvent
weather in my city now,GetWeather
play music now,PlayMusic
i want to eat out please,BookRestaurant
film screening time today,SearchScreeningEvent
play a song,PlayMusic
book a table now,BookRestaurant
restaurant reservation please,BookRestaurant
play pop songs now,PlayMusic
i want music please,PlayMusic
wake me at 6,SetAlarm
breaking news for me,GetNews
search creative content please,SearchCreativeWork
alarm at 9 pm please,SetAlarm
restaurant reservation,BookRestaurant
table for two please today,BookRestaurant
alarm for 7 am please,SetAlarm
weather in my city,GetWeather
cinema schedule please,SearchScreeningEvent
showtimes near me now,SearchScreeningEvent
wake me up,SetAlarm
set morning alarm now,SetAlarm
add milk to list now,AddToList
headlines today for me,GetNews
show movies about robots for me,SearchCreativeWork
latest news,GetNews
add items to shopping list for me,AddToList
add milk to list,AddToList
look for songs now,SearchCreativeWork
search creative content for me,SearchCreativeWork
weather in my city for me,GetWeather
alarm for 7 am,SetAlarm
find a movie for me,SearchCreativeWork
alarm for 7 am today,SetAlarm
temperature today for me,GetWeather
headlines today,GetNews
add bread to list now,AddToList
look for songs today,SearchCreativeWork
add bread to list please,AddToList
set morning alarm today,SetAlarm
i want to eat out today,BookRestaurant
play pop songs now,PlayMusic
set morning alarm for me,SetAlarm
news update today,GetNews
when is next show please,SearchScreeningEvent
movie schedule today please,SearchScreeningEvent
how is weather for me,GetWeather
latest news please,GetNews
add items to shopping list please,AddToList
book a table,BookRestaurant
set morning alarm for me,SetAlarm
will it rain today today,GetWeather
wake me at 6 today,SetAlarm
book movie ticket please,SearchScreeningEvent
book a table,BookRestaurant
search books please,SearchCreativeWork
movie timings for me,SearchScreeningEvent
alarm at 9 pm,SetAlarm
cinema schedule today,SearchScreeningEvent
breaking news today,GetNews
find novels for me,SearchCreativeWork
cinema schedule today,SearchScreeningEvent
showtimes near me please,SearchScreeningEvent
add bread to list today,AddToList
alarm for 7 am today,SetAlarm
how is weather please,GetWeather
put eggs in list now,AddToList
is it raining please,GetWeather
set morning alarm please,SetAlarm
set alarm today,SetAlarm
look for songs for me,SearchCreativeWork
book movie ticket,SearchScreeningEvent
alarm at 9 pm today,SetAlarm
find novels for me,SearchCreativeWork
music please today,PlayMusic
movie timings now,SearchScreeningEvent
add groceries today,AddToList
set morning alarm please,SetAlarm
add groceries today,AddToList
play some songs now,PlayMusic
show movies about robots please,SearchCreativeWork
cinema schedule for me,SearchScreeningEvent
play some songs for me,PlayMusic
play a song today,PlayMusic
book a place for dinner please,BookRestaurant
play pop songs today,PlayMusic
show news today,GetNews
what is happening today today,GetNews
add groceries now,AddToList
will it rain today,GetWeather
i want music please,PlayMusic
what is the weather,GetWeather
wake me up,SetAlarm
find restaurant booking please,BookRestaurant
when is next show,SearchScreeningEvent
set morning alarm now,SetAlarm
show news for me,GetNews
is it raining now,GetWeather
what is the weather now,GetWeather
find artwork please,SearchCreativeWork
weather forecast,GetWeather
add item to my list for me,AddToList
what is the weather now,GetWeather
show movies about robots now,SearchCreativeWork
temperature today,GetWeather
find novels today,SearchCreativeWork
weather in my city now,GetWeather
when is next show please,SearchScreeningEvent
search books for me,SearchCreativeWork
add bread to list for me,AddToList
book movie ticket today,SearchScreeningEvent
put eggs in list please,AddToList
how is weather today,GetWeather
alarm at 9 pm today,SetAlarm
look for songs,SearchCreativeWork
movie schedule today now,SearchScreeningEvent
book a place for dinner please,BookRestaurant
breaking news now,GetNews
what is happening today for me,GetNews
add bread to list,AddToList
set alarm please,SetAlarm
find artwork for me,SearchCreativeWork
wake me at 6 today,SetAlarm
book movie ticket,SearchScreeningEvent
how is weather please,GetWeather
show movies about robots please,SearchCreativeWork
add item to my list for me,AddToList
news update for me,GetNews
news update for me,GetNews
what is happening today today,GetNews
put eggs in list now,AddToList
set alarm please,SetAlarm
latest news for me,GetNews
find restaurant booking please,BookRestaurant
showtimes near me for me,SearchScreeningEvent
add milk to list please,AddToList
add items to shopping list now,AddToList
i want to eat out,BookRestaurant
i want to eat out,BookRestaurant
start playlist now,PlayMusic
book a place for dinner,BookRestaurant
music please now,PlayMusic
book movie ticket today,SearchScreeningEvent
show news,GetNews
add groceries,AddToList
weather in my city today,GetWeather
what is the weather please,GetWeather
i want to eat out,BookRestaurant
set alarm for me,SetAlarm
search creative content for me,SearchCreativeWork
alarm at 9 pm for me,SetAlarm
find artwork today,SearchCreativeWork
add bread to list today,AddToList
add bread to list for me,AddToList
music please,PlayMusic
wake me at 6 please,SetAlarm
add item to my list,AddToList
find restaurant booking please,BookRestaurant
is it raining,GetWeather
find artwork for me,SearchCreativeWork
showtimes near me,SearchScreeningEvent
alarm for 7 am now,SetAlarm
movie timings please,SearchScreeningEvent
add item to my list for me,AddToList
set morning alarm,SetAlarm
wake me at 6 please,SetAlarm
add items to shopping list,AddToList
start music now,PlayMusic
add groceries,AddToList
when is next show now,SearchScreeningEvent
look for songs for me,SearchCreativeWork
book movie ticket,SearchScreeningEvent
play some songs now,PlayMusic
add milk to list,AddToList
wake me at 6 for me,SetAlarm
play pop songs for me,PlayMusic
start music today,PlayMusic
showtimes near me please,SearchScreeningEvent
show movies about robots today,SearchCreativeWork
will it rain today now,GetWeather
look for songs now,SearchCreativeWork
is it raining now,GetWeather
show movies about robots today,SearchCreativeWork
add item to my list today,AddToList
play tracks,PlayMusic
what is happening today now,GetNews
weather in my city for me,GetWeather
start playlist today,PlayMusic
find a movie please,SearchCreativeWork
world news today,GetNews
movie schedule today,SearchScreeningEvent
alarm for 7 am for me,SetAlarm
i want to eat out today,BookRestaurant
movie timings,SearchScreeningEvent
wake me at 6 please,SetAlarm
add bread to list,AddToList
find a movie please,SearchCreativeWork
will it rain today,GetWeather
book a place for dinner now,BookRestaurant
